Time,V(0),V(N001),V(N002),V(N003),V(N004),V(N005),I(C1),I(I1),I(I2),I(L1),I(L2),I(R1),I(R2),I(R3),I(R4),
0.004,0,3.20546,-2.14571,-0.559639,-2.0614,-0.296296,0.00526685,0.0587785,0.0587785,0.0816964,-0.0229179,-0.00526685,0.017651,-0.0535117,-0.00526685,
0.00405,0,2.94278,-2.16229,-0.550434,-2.21485,-0.292552,0.00515763,0.0562083,0.0562083,0.080589,-0.0243806,-0.00515763,0.019223,-0.0510507,-0.00515763,
0.0041,0,2.67629,-2.1777,-0.540621,-2.36651,-0.288481,0.0050428,0.0535827,0.0535827,0.0794057,-0.025823,-0.0050428,0.0207802,-0.0485399,-0.0050428,
0.00415,0,2.40627,-2.1919,-0.530212,-2.51619,-0.284089,0.00492246,0.0509041,0.0509041,0.0781476,-0.0272435,-0.00492246,0.022321,-0.0459817,-0.00492246,
0.0042,0,2.13298,-2.20489,-0.519216,-2.66375,-0.27938,0.00479672,0.0481754,0.0481754,0.0768157,-0.0286404,-0.00479672,0.0238437,-0.0433786,-0.00479672,
0.00425,0,1.85669,-2.21665,-0.507647,-2.80901,-0.274362,0.0046657,0.045399,0.045399,0.0754112,-0.0300122,-0.0046657,0.0253465,-0.0407333,-0.0046657,
0.0043,0,1.57768,-2.22716,-0.495517,-2.95183,-0.269041,0.00452951,0.0425779,0.0425779,0.0739353,-0.0313574,-0.00452951,0.0268279,-0.0380484,-0.00452951,
0.00435,0,1.29623,-2.23642,-0.482837,-3.09205,-0.263423,0.00438827,0.0397148,0.0397148,0.0723893,-0.0326745,-0.00438827,0.0282862,-0.0353265,-0.00438827,
0.0044,0,1.01261,-2.24442,-0.469622,-3.22951,-0.257516,0.00424213,0.0368125,0.0368125,0.0707745,-0.0339621,-0.00424213,0.02972,-0.0325703,-0.00424213,
0.00445,0,0.72712,-2.25114,-0.455885,-3.36408,-0.251325,0.0040912,0.0338738,0.0338738,0.0690925,-0.0352187,-0.0040912,0.0311275,-0.0297826,-0.0040912,
0.0045,0,0.440034,-2.25657,-0.44164,-3.4956,-0.244859,0.00393563,0.0309017,0.0309017,0.0673447,-0.036443,-0.00393563,0.0325074,-0.0269661,-0.00393563,
0.00455,0,0.151641,-2.26071,-0.426903,-3.62393,-0.238125,0.00377557,0.0278991,0.0278991,0.0655327,-0.0376336,-0.00377557,0.0338581,-0.0241235,-0.00377557,
0.0046,0,-0.137773,-2.26355,-0.411689,-3.74894,-0.23113,0.00361117,0.024869,0.024869,0.0636583,-0.0387893,-0.00361117,0.0351781,-0.0212578,-0.00361117,
0.00465,0,-0.427917,-2.26509,-0.396012,-3.8705,-0.223883,0.00344258,0.0218143,0.0218143,0.061723,-0.0399087,-0.00344258,0.0364661,-0.0183717,-0.00344258,
0.0047,0,-0.718502,-2.26532,-0.37989,-3.98846,-0.216392,0.00326996,0.0187381,0.0187381,0.0597288,-0.0409907,-0.00326996,0.0377207,-0.0154682,-0.00326996,
0.00475,0,-1.00924,-2.26424,-0.363339,-4.10272,-0.208665,0.00309348,0.0156434,0.0156434,0.0576774,-0.042034,-0.00309348,0.0389405,-0.01255,-0.00309348,
0.0048,0,-1.29984,-2.26184,-0.346376,-4.21314,-0.200711,0.0029133,0.0125333,0.0125333,0.0555709,-0.0430375,-0.0029133,0.0401242,-0.00962002,-0.0029133,
0.00485,0,-1.59001,-2.25813,-0.329018,-4.3196,-0.192538,0.0027296,0.00941083,0.00941083,0.0534111,-0.0440002,-0.0027296,0.0412706,-0.00668123,-0.0027296,
0.0049,0,-1.87946,-2.25311,-0.311283,-4.422,-0.184156,0.00254255,0.00627905,0.00627905,0.0512001,-0.044921,-0.00254255,0.0423785,-0.00373651,-0.00254255,
0.00495,0,-2.1679,-2.24677,-0.293189,-4.52023,-0.175572,0.00235233,0.00314108,0.00314108,0.04894,-0.0457989,-0.00235233,0.0434465,-0.000788748,-0.00235233,
0.005,0,-2.45505,-2.23913,-0.274754,-4.61417,-0.166798,0.00215912,8.9795e-12,8.9795e-12,0.0466329,-0.0466329,-0.00215912,0.0444737,0.00215912,-0.00215912,
0.00505,0,-2.74061,-2.23019,-0.255998,-4.70374,-0.157842,0.00196312,-0.00314108,-0.00314108,0.044281,-0.0474221,-0.00196312,0.045459,0.0051042,-0.00196312,
0.0051,0,-3.02431,-2.21996,-0.236938,-4.78883,-0.148713,0.00176451,-0.00627905,-0.00627905,0.0418866,-0.0481656,-0.00176451,0.0464011,0.00804356,-0.00176451,
0.00515,0,-3.30586,-2.20843,-0.217595,-4.86935,-0.139421,0.00156348,-0.00941083,-0.00941083,0.0394519,-0.0488627,-0.00156348,0.0472993,0.0109743,-0.00156348,
0.0052,0,-3.58498,-2.19563,-0.197989,-4.94522,-0.129977,0.00136023,-0.0125333,-0.0125333,0.0369793,-0.0495126,-0.00136023,0.0481524,0.0138936,-0.00136023,
0.00525,0,-3.86139,-2.18155,-0.178138,-5.01635,-0.12039,0.00115496,-0.0156434,-0.0156434,0.0344711,-0.0501146,-0.00115496,0.0489596,0.0167984,-0.00115496,
0.0053,0,-4.13481,-2.16621,-0.158063,-5.08268,-0.110669,0.000947862,-0.0187381,-0.0187381,0.0319298,-0.0506679,-0.000947862,0.0497201,0.019686,-0.000947862,
0.00535,0,-4.40498,-2.14963,-0.137784,-5.14412,-0.100827,0.000739141,-0.0218143,-0.0218143,0.0293577,-0.0511721,-0.000739141,0.0504329,0.0225535,-0.000739141,
0.0054,0,-4.67161,-2.13181,-0.117322,-5.20061,-0.0908716,0.000529,-0.024869,-0.024869,0.0267574,-0.0516264,-0.000529,0.0510974,0.025398,-0.000529,
